Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"APP","Amyloid Beta Precursor Protein","Protein Coding","59","GC21M025880","153.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"PSEN1","Presenilin 1","Protein Coding","59","GC14P073136","142.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1"
"APOE","Apolipoprotein E","Protein Coding","58","GC19P044906","130.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"PSEN2","Presenilin 2","Protein Coding","55","GC01P226870","109.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN2"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","58","GC17P045894","99.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"SNCA","Synuclein Alpha","Protein Coding","57","GC04M089724","85.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA"
"TNF","Tumor Necrosis Factor","Protein Coding","60","GC06P032174","82.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"PRNP","Prion Protein","Protein Coding","54","GC20P004615","68.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRNP"
"IL1B","Interleukin 1 Beta","Protein Coding","55","GC02M112829","65.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","56","GC17P063477","62.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","55","GC11M027654","60.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","57","GC07P150990","59.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"SORL1","Sortilin Related Receptor 1","Protein Coding","50","GC11P121452","57.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1"
"BCHE","Butyrylcholinesterase","Protein Coding","55","GC03M165772","56.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCHE"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","57","GC06P043737","56.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CTSD","Cathepsin D","Protein Coding","59","GC11M001752","56.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD"
"CHAT","Choline O-Acetyltransferase","Protein Coding","54","GC10P049609","54.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","55","GC17M044905","54.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","55","GC09M104781","53.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"SQSTM1","Sequestosome 1","Protein Coding","56","GC05P179806","52.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1"
"SOD1","Superoxide Dismutase 1","Protein Coding","59","GC21P031659","51.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"ADAM10","ADAM Metallopeptidase Domain 10","Protein Coding","59","GC15M058588","51.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM10"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","54","GC12P057128","51.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"TF","Transferrin","Protein Coding","56","GC03P133663","50.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","55","GC17M030194","49.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"MME","Membrane Metalloendopeptidase","Protein Coding","57","GC03P155024","49.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME"
"HFE","Homeostatic Iron Regulator","Protein Coding","49","GC06P026087","49.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","59","GC10P073909","48.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"A2M","Alpha-2-Macroglobulin","Protein Coding","52","GC12M009067","48.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","57","GC10P088969","48.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","36","GCMTP003309","48.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"MPO","Myeloperoxidase","Protein Coding","57","GC17M058269","48.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","60","GC03P012328","47.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","55","GC05M037812","47.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"TARDBP","TAR DNA Binding Protein","Protein Coding","53","GC01P011013","47.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARDBP"
"BACE1","Beta-Secretase 1","Protein Coding","51","GC11M117285","47.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","59","GC04P041174","47.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"CST3","Cystatin C","Protein Coding","52","GC20M023608","47.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"CAT","Catalase","Protein Coding","57","GC11P034460","46.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"TTR","Transthyretin","Protein Coding","57","GC18P031591","46.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"NGF","Nerve Growth Factor","Protein Coding","58","GC01M115285","46.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"LPL","Lipoprotein Lipase","Protein Coding","57","GC08P019841","45.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","59","GC22M021754","45.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"HSD17B10","Hydroxysteroid 17-Beta Dehydrogenase 10","Protein Coding","52","GC0XM053431","45.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10"
"GRN","Granulin Precursor","Protein Coding","54","GC17P044345","45.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRN"
"ABCA7","ATP Binding Cassette Subfamily A Member 7","Protein Coding","50","GC19P001040","44.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA7"
"NCSTN","Nicastrin","Protein Coding","54","GC01P160343","44.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCSTN"
"ACHE","Acetylcholinesterase (Cartwright Blood Group)","Protein Coding","52","GC07M100889","44.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE"
"SYP","Synaptophysin","Protein Coding","50","GC0XM049187","44.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYP"
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","55","GC12P040196","44.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","57","GC19P011061","44.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"MT-ND2","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 2","Protein Coding","36","GCMTP004472","43.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND2"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","44","GC06M161348","43.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"HMOX1","Heme Oxygenase 1","Protein Coding","59","GC22P035380","43.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","57","GC12M006308","43.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","57","GC02M009580","43.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"CRH","Corticotropin Releasing Hormone","Protein Coding","50","GC08M066208","43.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH"
"SNCB","Synuclein Beta","Protein Coding","50","GC05M176620","43.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCB"
"PSENEN","Presenilin Enhancer, Gamma-Secretase Subunit","Protein Coding","51","GC19P036746","42.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSENEN"
"CASP8","Caspase 8","Protein Coding","60","GC02P201233","42.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"CD40","CD40 Molecule","Protein Coding","55","GC20P046118","42.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"GBA","Glucosylceramidase Beta","Protein Coding","54","GC01M155234","42.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","55","GC12M013437","41.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"PLD3","Phospholipase D Family Member 3","Protein Coding","46","GC19P040348","40.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD3"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","55","GC01P156786","40.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","60","GC09P084668","40.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2"
"CTSB","Cathepsin B","Protein Coding","57","GC08M011842","39.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","57","GC03M119821","39.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"OLR1","Oxidized Low Density Lipoprotein Receptor 1","Protein Coding","51","GC12M012099","39.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLR1"
"PICALM","Phosphatidylinositol Binding Clathrin Assembly Protein","Protein Coding","49","GC11M085957","39.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PICALM"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","54","GC01M011845","39.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"RELN","Reelin","Protein Coding","50","GC07M103471","39.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELN"
"MT-CO1","Mitochondrially Encoded Cytochrome C Oxidase I","Protein Coding","36","GCMTP005906","39.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO1"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","52","GC15P031923","39.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7"
"SERPINA3","Serpin Family A Member 3","Protein Coding","50","GC14P094612","38.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3"
"VLDLR","Very Low Density Lipoprotein Receptor","Protein Coding","55","GC09P002611","38.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VLDLR"
