Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
ABCG8;ENSG00000143921;CM;2;44066103;44105605;1;1;1;0;0,28;0,18;0,13;-0,064;0,287;0,00034;-0,00113
ASPA;ENSG00000108381;CM;17;3375668;3406713;1;1;0;0;0;0,12;0,13;0,235;0,428;-0,00025;0,0001
FOXP2;ENSG00000128573;CM;7;113726382;114333827;1;5;0,24;2350,14;0,08;0,06;0,01;-0,418;-0,913;-0,00018;-0,0003
F12;ENSG00000131187;CM;5;176829141;176836577;-1;1;0,22;0;0,65;0,32;0,2;-0,744;-0,745;0,00025;-0,00009
CYP17A1;ENSG00000148795;CM;10;104590288;104597290;-1;1;0,22;0;0,59;0,36;0,32;0,6;0,152;0,00002;0,00015
CST3;ENSG00000101439;CM;20;23608534;23619110;-1;3;0,22;154,21;-;0,07;-;1,191;1,07;0,00034;-0,00045
DLD;ENSG00000091140;CM;7;107531415;107572175;1;3;0,31;1966,9;0;0,22;0,06;1,337;1,502;0,00018;0,00006
COL10A1;ENSG00000123500;CM;6;116440086;116479910;-1;1;0,21;0;0,88;0,2;0,18;-0,684;-0,146;0,00022;0,0001
PRKAG2;ENSG00000106617;CM;7;151253197;151574210;-1;16;0,26;4028,99;0;0,37;0,07;-1,036;0,711;0,00022;-0,00039
TNFRSF11A;ENSG00000141655;CM;18;59992520;60058516;1;7;0,26;68,15;0,57;0,12;0,36;0,718;0,907;0,00025;0,00025
ARSB;ENSG00000113273;CM;5;78073032;78281910;-1;-;-;-;0,05;0,32;0,22;0,164;1,202;0,00022;-0,00002
PAX2;ENSG00000075891;CM;10;102495360;102589698;1;3;0,25;97,45;0;0,43;0,19;-0,008;-0,471;-0,00089;-0,00037
TNFRSF11B;ENSG00000164761;CM;8;119935796;119964439;-1;2;0,21;11,72;0,17;0,05;0,11;0,28;0,709;0,00031;-0,00002
SOX9;ENSG00000125398;CM;17;70117161;70122561;1;9;0,28;14613,22;0;0,01;0,02;0,615;0,176;0,00014;0,00009
COL6A3;ENSG00000163359;CM;2;238232646;238323018;-1;-;-;-;0,13;0,13;0,13;0,131;0,139;-0,0001;-0,00014
COL18A1;ENSG00000182871;CM;21;46825052;46933634;1;2;0,24;911,6;0,69;-;0,25;-0,331;-0,019;-0,00043;-0,00057
CD40;ENSG00000101017;CM;20;44746911;44758502;1;25;0,29;44620,39;-;0,48;0,28;-1,458;-0,606;0,00036;0,00016
RYR2;ENSG00000198626;CM;1;237205505;237997288;1;18;0,27;55228,61;0,02;0,08;0,02;-0,754;0,667;0,00002;-0,00056
TP73L,TP63;ENSG00000073282;CM;3;189349205;189615068;1;34;0,31;31413,04;0;0,01;0,03;-0,457;0,347;0,00006;-0,00003
CLN3;ENSG00000188603;CM;16;28477983;28506896;-1;42;0,28;88243,21;-;-;-;-1,002;0,569;-0,00041;-0,00008
APOE;ENSG00000130203;CM;19;45409011;45412650;1;7;0,31;30423,17;0,37;0,14;0,15;1,06;0,483;-0,0003;0,00002
SACS;ENSG00000151835;CM;13;23902965;24007841;-1;-;-;-;0,16;0,11;0,15;-0,473;0,358;0,00013;0,00002
TNFRSF1A;ENSG00000067182;CM;12;6437923;6451280;-1;52;0,33;113653,77;0,54;0,21;0,32;0,363;0,653;0,0001;-0,00004
PYGL;ENSG00000100504;CM;14;51324609;51411454;-1;3;0,31;716,57;0;0,09;0,05;-0,049;-0,294;-0,00054;-0,00083
GRHL2;ENSG00000083307;CM;8;102504660;102681954;1;1;0,67;0;0;0,15;0,04;0,49;0,401;0,00011;-0,00056
TAP2;ENSG00000204267;CM;6;32789610;32806557;-1;6;0,24;595,47;-;-;-;-0,297;0,063;-0,00386;-0,00182
TSC1;ENSG00000165699;CM;9;135766735;135820020;-1;23;0,32;39141,1;0,33;0,17;0,15;-0,59;-0,206;-0,00009;-0,00022
