#;Symbol;Description;Category;Score;Evidence;PubmedIds
1;APP;Amyloid Beta Precursor Protein;Protein Coding;1406.58;Molecular basis known 57;20301340 2030141420831773 (more) 
;;;;;Pathogenic 6;
;;;;;Causative variation 75;
;;;;;Genetic Tests 29;
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
2;A2M;Alpha-2-Macroglobulin;Protein Coding;733.32;Molecular basis known 57;1370808 981194015023809 (more) 
;;;;;Genetic Tests 29;
;;;;;Susceptibility factor 57;
;;;;;Risk factor 6;
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
3;PLAU;Plasminogen Activator, Urokinase;Protein Coding;703.87;Molecular basis known 57;
;;;;;Genetic Tests 29;
;;;;;Susceptibility factor 57;
;;;;;Risk factor 6;
;;;;;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
4;MPO;Myeloperoxidase;Protein Coding;685.34;Molecular basis known 57;110 877 691 502 380 000 000 000
;;;;;Genetic Tests 29;
;;;;;Susceptibility factor 57;
;;;;;Risk factor 6;
;;;;;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
5;NOS3;Nitric Oxide Synthase 3;Protein Coding;683.27;Molecular basis known 57;11041283 1818349910818490 (more) 
;;;;;Genetic Tests 29;
;;;;;Susceptibility factor 57;
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
6;HFE;Homeostatic Iron Regulator;Protein Coding;672.88;Molecular basis known 57;12714262 1942917817047092 (more) 
;;;;;Genetic Tests 29;
;;;;;Susceptibility factor 57;
;;;;;DISEASES inferred 15;
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
7;MT-ND1;Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1;Protein Coding;425.36;Pathogenic 6;7624338 2030134020301414 (more) 
;;;;;GeneCards inferred via(show sections);
8;MIR146A;MicroRNA 146a;RNA Gene;407.18;Causal 47;2 093 784 020 934 480
;;miRNA-146a is emerging as a key small RNA regulator of the innate immune response and pro-inflammatory signaling in several human neurodegenerative diseases associated with a strong inflammatory component. miRNA-146a was found to be consistently up-regulated in Alzeimer Disease (AD) brain as a function of disease progression, and this change was focused in specific brain regions that exhibit AD neuropathological change.;;;Unspecified 47;
;;;;;GeneCards inferred via(show sections);
9;MIR106B;MicroRNA 106b;RNA Gene;400;Causal 47;1 911 005 818 434 550
